UNIT FILE                                    STATE           PRESET
media-daniele-Seagate6TB2.automount          enabled         enabled
proc-sys-fs-binfmt_misc.automount            static          -
-.mount                                      generated       -
boot-efi.mount                               generated       -
dev-hugepages.mount                          static          -
dev-mqueue.mount                             static          -
media-daniele-Seagate6TB2.mount              disabled        enabled
proc-sys-fs-binfmt_misc.mount                disabled        disabled
sys-fs-fuse-connections.mount                static          -
sys-kernel-config.mount                      static          -
sys-kernel-debug.mount                       static          -
sys-kernel-tracing.mount                     static          -
cups.path                                    enabled         enabled
systemd-ask-password-console.path            static          -
systemd-ask-password-plymouth.path           static          -
systemd-ask-password-wall.path               static          -
tpm-udev.path                                enabled         enabled
session-c2.scope                             transient       -
accounts-daemon.service                      enabled         enabled
alsa-restore.service                         static          -
alsa-state.service                           static          -
alsa-utils.service                           masked          enabled
anacron.service                              enabled         enabled
apparmor.service                             enabled         enabled
apt-daily-upgrade.service                    static          -
apt-daily.service                            static          -
autovt@.service                              alias           -
avahi-daemon.service                         enabled         enabled
blk-availability.service                     enabled         enabled
blueman-mechanism.service                    enabled         enabled
bluetooth.service                            enabled         enabled
bolt.service                                 static          -
brltty-udev.service                          static          -
brltty.service                               disabled        enabled
casper-md5check.service                      enabled         enabled
casper.service                               enabled         enabled
colord.service                               static          -
configure-printer@.service                   static          -
console-getty.service                        disabled        disabled
console-setup.service                        enabled         enabled
container-getty@.service                     static          -
cron.service                                 enabled         enabled
cryptdisks-early.service                     masked          enabled
cryptdisks.service                           masked          enabled
cups-browsed.service                         enabled         enabled
cups.service                                 enabled         enabled
dbus-fi.w1.wpa_supplicant1.service           alias           -
dbus-org.bluez.service                       alias           -
dbus-org.freedesktop.Avahi.service           alias           -
dbus-org.freedesktop.hostname1.service       alias           -
dbus-org.freedesktop.locale1.service         alias           -
dbus-org.freedesktop.login1.service          alias           -
dbus-org.freedesktop.ModemManager1.service   alias           -
dbus-org.freedesktop.nm-dispatcher.service   alias           -
dbus-org.freedesktop.resolve1.service        alias           -
dbus-org.freedesktop.thermald.service        alias           -
dbus-org.freedesktop.timedate1.service       alias           -
dbus-org.freedesktop.timesync1.service       alias           -
dbus.service                                 static          -
debug-shell.service                          disabled        disabled
disk-usage-monitor.service                   static          -
display-manager.service                      alias           -
dm-event.service                             static          -
dmesg.service                                enabled         enabled
dpkg-db-backup.service                       static          -
e2scrub@.service                             static          -
e2scrub_all.service                          static          -
e2scrub_fail@.service                        static          -
e2scrub_reap.service                         enabled         enabled
emergency.service                            static          -
finalrd.service                              enabled         enabled
flatpak-system-helper.service                static          -
fprintd.service                              static          -
freeze-reboot-monitor.service                enabled         enabled
freeze-zram-swap.service                     enabled         enabled
friendly-recovery.service                    static          -
fstrim.service                               static          -
fwupd-offline-update.service                 static          -
fwupd-refresh.service                        static          -
fwupd.service                                static          -
geoclue.service                              static          -
getty-static.service                         static          -
getty@.service                               enabled         enabled
gpu-manager.service                          enabled         enabled
grub-common.service                          enabled         enabled
grub-initrd-fallback.service                 enabled         enabled
hwclock.service                              masked          enabled
iio-sensor-proxy.service                     static          -
initrd-cleanup.service                       static          -
initrd-parse-etc.service                     static          -
initrd-switch-root.service                   static          -
initrd-udevadm-cleanup-db.service            static          -
ipp-usb.service                              static          -
iptsd@.service                               static          -
irqbalance.service                           enabled         enabled
kerneloops.service                           enabled         enabled
keyboard-setup.service                       enabled         enabled
kmod-static-nodes.service                    static          -
kmod.service                                 alias           -
ldconfig.service                             static          -
lightdm.service                              indirect        enabled
lm-sensors.service                           enabled         enabled
logrotate.service                            static          -
lvm2-lvmpolld.service                        static          -
lvm2-monitor.service                         enabled         enabled
man-db.service                               static          -
mdadm-grow-continue@.service                 static          -
mdadm-last-resort@.service                   static          -
mdcheck_continue.service                     static          -
mdcheck_start.service                        static          -
mdmon@.service                               static          -
